ID,Name,Price,Price/unit,Price/unit change,Last Price Update,Supplier,Order Code,Brand,Country of Origin,Category,Lead Time,Case,Pack,Unit,Purchase Amount,Converters,Display Name,Usable Percentage,Allergens,Label Certifications,Is Added Sugar,Notes
574628,Green sprinkles,1.0,$1.00/lb,"","","",,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"Artificial dye, Milk","",false,""
506985,Guava Puree,87.36,$14.56/Kg,773.6%,2024-03-27,Chef's Warehouse,,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",true,""
509366,Hazelnuts,27.1,$5.42/lb,442%,2024-10-09,Chef's Warehouse,VN160549,Capitol Food Company,"",Food,,1.0,5.0,lb,1/5lb,"","",100,Tree nuts,"",,""
507943,Heat treated flour,84.95,$2.83/lb,-100%,2024-03-27,Cookie Do,,Cookie Do,"",Food,,6.0,5.0,lb,6/5lb,"","",100,"Gluten, Wheat","",,""
506913,Heath Bar Pieces,28.99,$5.80/lb,27.82%,2024-04-03,US Foods Chefstore,,Heath,"",Food,,1.0,5.0,lb,1/5lb,"","",100,"Milk, Soy, Tree nuts","",,""
509697,Heavy Cream,13.49,$0.21/oz,"","",US Foods Chefstore,,Darigold,"",Food,,1.0,64.0,oz,1/64oz,8.4 oz = 1 cup,"",100,Milk,"",,""
590758,Heirloom Tomato,1.0,$1.00/lb,"","","",,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",false,""
507435,Hibiscus,13.88,$0.87/oz,1288%,2024-03-27,Amazon,,Magjo naturals,"",Food,,1.0,16.0,oz,1/16oz,"","",100,"","",,""
590780,Honey Flavor (GMF),1.0,$1.00/g,"","",Green Mountain Flavors,,"","",Uncategorized,,1.0,1.0,g,1/1g,"","",100,"","",false,""
519846,Honey Roasted Peanuts,1.0,$1.00/Kg,"","","",,"","",Food,,1.0,1.0,Kg,1/1Kg,"","",100,Peanuts,"",,""
590683,hot pepper paste,1.0,$1.00/oz,"","",Amazon,,incas food,PE,Food,,1.0,1.0,oz,1/1oz,"","yellow hot pepper, salt, citric acid, sodium benzoate",100,"","",false,""
591298,huckleberries,1.0,$1.00/lb,"","","",,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",false,""
482244,Ice Bracer,105.0,$21.00/lb,362.97%,2024-10-14,Green Mountain Flavors,IceBracer,GMF,"",Food,,1.0,5.0,lb,1/5lb,"","",100,"","",false,""
508267,Indonesian Vanilla Extract 2x,195.74,$195.74/gal,"","",Nielsen Massey,,Nielsen Massey,"",Food,,1.0,1.0,gal,1/1gal,1 tbsp = 13 g,"",100,"","",false,""
586896,kalamansi puree,1.0,$1.00/Kg,"","","",,"","",Uncategorized,,1.0,1.0,Kg,1/1Kg,"","",100,"","",true,""
588120,Kiwi Puree,1.0,$0.00/Kg,"",2025-12-08,Chef's Warehouse,,"","",Uncategorized,,1.0,1000.0,Kg,1/1000Kg,"","",100,"","",true,""
534918,Lady Fingers,5.29,$0.01/g,"","",US Foods Chefstore,,Roland,"",Food,,1.0,500.0,g,1/500g,"","",100,"Eggs, Gluten, Wheat","",,""
507263,Large Eggs,16.59,$0.28/each,-72.35%,2024-04-03,US Foods Chefstore,,Shell Lg Grade A,"",Food,,1.0,60.0,each,1/60each,1 each = 57 g,"",100,Eggs,"",,""
508257,Lavender Extract,13.5,$6.75/floz,"","",Amazon,,Angel Bake,"",Food,,1.0,2.0,floz,1/2floz,"","",100,"","",,""
590775,Lavender water flavor (GMF),1.0,$1.00/oz,4.32%,2026-04-09,Green Mountain Flavors,,"","",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
509688,Lemon,5.49,$1.10/lb,"","",US Foods Chefstore,,Sunkist,"",Food,,1.0,5.0,lb,1/5lb,5 lb = 18 each,"",100,"","",,""
564472,Lemon emulsion GMF,1.0,$1.00/oz,"","","",,GMF,"",Food,,1.0,1.0,oz,1/1oz,"","",100,"","",false,""
508256,Lemon Oil,15.0,$4.41/floz,"","",Amazon,,Boyajian,"",Food,,1.0,3.4,floz,1/3.4floz,"","",100,"","",,""
506728,Lemon Puree,92.0,$15.33/Kg,53.33%,2024-03-20,Chef's Warehouse,4404BO0565,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",,""
507937,Light brown sugar,22.89,$0.92/lb,-100%,2024-04-03,US Foods Chefstore,,Domino,"",Food,,1.0,25.0,lb,1/25lb,"","",100,"","",,""
507268,Light corn syrup,20.29,$20.29/gal,-99.46%,2024-04-03,US Foods Chefstore,,Karo,"",Food,,1.0,1.0,gal,1/1gal,11.5 oz = 1 cup,"",100,"","",,""
506902,Lime Puree,111.31,$18.55/Kg,1013.1%,2024-03-27,Chef's Warehouse,4404BO0566,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",true,""
528840,Limes,10.59,$2.12/lb,111.8%,2024-10-14,US Foods Chefstore,,"","",Uncategorized,,1.0,5.0,lb,1/5lb,"","",100,"","",,""
539305,lychee puree,1.0,$0.17/oz,"",2025-09-28,Chef's Warehouse,,"","",Food,,1.0,6.0,oz,1/6oz,"","",100,"","",true,""
587219,M&M candy pieces,1.0,$1.00/lb,"","","",,"","",Uncategorized,,1.0,1.0,lb,1/1lb,"","milk chocolate (sugar, chocolate, skim milk, cocoa butter, lactose, milkfat, peanuts, soy lecithin, salt, natural flavor), sugar, cornstarch; less than 1% of: palm oil, corn syrup, dextrin, artifical colors ",100,"Artificial dye, Milk, Soy","",true,"corn, milk, soy, artifical colors"
482083,Madagascar Vanilla 2x (Bourbon Vanilla),284.42,$284.42/gal,-78.7%,2024-03-27,Nielsen Massey,,Nielsen Massey,"",Food,,1.0,1.0,gal,1/1gal,1 tbsp = 17 g,"",100,"","",,""
506912,Malted Milk Powder,89.09,$5.94/lb,30.94%,2024-04-04,US Foods Chefstore,,Carnation,"",Food,,6.0,2.5,lb,6/2.5lb,"","",100,"Gluten, Milk, Soy, Wheat","",,""
574599,Mami’s Oatrageous,1.0,$1.00/lb,"","","",,"","",Food,,1.0,1.0,lb,1/1lb,"","CANE SUGAR, GLUCOSE, MALTODEXTRIN, COCONUT OIL, PALM OIL, POTATO PROTEIN, OAT FLOUR,  SALT, LESS THAN 1% OF THE FOLLOWING: CELLULOSE GUM, XANTHAN GUM, MODIFIED FOOD STARCH, CALCIUM PHOSPHATE, MONO AND DI-GLYCERCIDES, POTASSIUM PHOSPHATE, SOY LECITHIN, SILICON DIOXIDE. ALLERGENS: SOY",100,"Soy, Tree nuts","Gluten-Free, Vegan",true,coconut allergen
506908,Mandarin Puree,87.96,$14.66/Kg,779.6%,2024-03-27,Chef's Warehouse,,Boiron,"",Food,,6.0,1.0,Kg,6/1Kg,"","",100,"","",true,""
591300,mango chunks (frozen),1.0,$1.00/lb,"","","",,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",true,""
